surfspot,beach,region,crowds,difficulty,link,img link
Santa Monica Beach South,Santa Monica,Los Angeles County,2,1,https://www.surfline.com/surf-report/santa-monica-beach-south/5af21e4c8a1a07001a4531dc,https://www.californiabeaches.com/wp-content/uploads/2014/09/Laguna-Beaches-3.28.14-054-Large-e1509425414152-650x383.jpg
Bay St,Santa Monica,Los Angeles County,2.5,2,https://www.surfline.com/surf-report/bay-st-/5d6562fdca83aa00012b47af,https://www.californiabeaches.com/wp-content/uploads/2014/09/Laguna-Beaches-3.28.14-055-Large-e1509425373498-650x382.jpg
Santa Monica Pier,Santa Monica,Los Angeles County,2.5,2.2,https://www.surfline.com/surf-report/santa-monica-pier/5842041f4e65fad6a77088f7,http://www.crystalcovestatepark.org/wp-content/uploads/2015/12/Reef-Point--e1470931279157.jpg
Santa Monica Pier North,Santa Monica,Los Angeles County,2.5,2.2,https://www.surfline.com/surf-report/santa-monica-pier-north/5b7efe06d7830b001a875b22,https://www.parks.ca.gov/pages/652/images/P0078527.jpg
Santa Monica Beach North,Santa Monica,Los Angeles County,2,1,https://www.surfline.com/surf-report/santa-monica-beach-north/5af21bc9177e44001a8cc60b,https://www.surfertoday.com/images/stories/thewedgewave2.jpg
Sunset Point,Santa Monica,Los Angeles County,2,2,https://www.surfline.com/surf-report/sunset-point/5842041f4e65fad6a7708914,https://www.visitcalifornia.com/sites/visitcalifornia.com/files/VC_NewportBeach_CoronaDelMar_Stock_RF_EHNYRW_1280x640.jpg
Sunset Beach,Santa Monica,Los Angeles County,2,2,https://www.surfline.com/surf-report/sunset-beach/584204214e65fad6a7709b9e,https://www.californiabeaches.com/wp-content/uploads/2016/06/bigs-Newport-Beach-pier-beach-looking-south-at-sunset-in-California-CALarge-e1509477484344-650x349.jpg
Chart House,Topanga Beach,Los Angeles County,4,4,https://www.surfline.com/surf-report/chart-house/5842041f4e65fad6a7708930,https://www.californiabeaches.com/wp-content/uploads/2016/06/29.png
Topanga Beach ,Topanga Beach,Los Angeles County,2,1.5,https://www.surfline.com/surf-report/topanga-beach/5842041f4e65fad6a770881e?camId=5834a1733421b20545c4b592,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigstock-Newport-pier-beach-in-Californ-60891353-Custom-650x433.jpg
Malibu Third Point,Malibu Beach,Los Angeles County,1,2.6,https://www.surfline.com/surf-report/malibu-third-point/5c9134bb8e8d940001706997,https://www.californiabeaches.com/wp-content/uploads/2014/09/bigs-Newport-Beach-pier-after-sunset-California-81966383-Large-e1482907529800-650x405.jpg
Malibu First Point,Malibu Beach,Los Angeles County,1,2.6,https://www.surfline.com/surf-report/malibu-first-point/584204214e65fad6a7709b9f?camId=58349c1fe411dc743a5d52ad,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_1100-Large-650x340.jpg
